Giver	Year	Recipient	Points
Belgium	1978	Ireland	10
Belgium	1978	Italy	1
Belgium	1978	France	8
Belgium	1978	Spain	2
Belgium	1978	United Kingdom	4
Belgium	1978	Switzerland	7
Belgium	1978	Germany	5
Belgium	1978	Monaco	6
Belgium	1978	Luxembourg	3
Belgium	1978	Israel	12
Belgium	1979	Portugal	5
Belgium	1979	Denmark	7
Belgium	1979	Ireland	10
Belgium	1979	Greece	1
Belgium	1979	Germany	4
Belgium	1979	Israel	2
Belgium	1979	France	6
Belgium	1979	Netherlands	3
Belgium	1979	Norway	8
Belgium	1979	Spain	12
Belgium	1980	Austria	1
Belgium	1980	Luxembourg	8
Belgium	1980	Italy	10
Belgium	1980	Switzerland	2
Belgium	1980	Germany	7
Belgium	1980	United Kingdom	6
Belgium	1980	Portugal	4
Belgium	1980	Netherlands	3
Belgium	1980	France	5
Belgium	1980	Ireland	12
Belgium	1981	Germany	10
Belgium	1981	Denmark	12
Belgium	1981	Yugoslavia	5
Belgium	1981	France	3
Belgium	1981	Netherlands	2
Belgium	1981	Ireland	1
Belgium	1981	United Kingdom	8
Belgium	1981	Greece	6
Belgium	1981	Cyprus	7
Belgium	1981	Sweden	4
Belgium	1982	Luxembourg	8
Belgium	1982	Norway	2
Belgium	1982	Switzerland	12
Belgium	1982	Cyprus	3
Belgium	1982	Sweden	5
Belgium	1982	Austria	6
Belgium	1982	Spain	4
Belgium	1982	Yugoslavia	1
Belgium	1982	Israel	7
Belgium	1982	Germany	10
Belgium	1983	Norway	7
Belgium	1983	Sweden	5
Belgium	1983	Switzerland	1
Belgium	1983	Netherlands	2
Belgium	1983	Yugoslavia	12
Belgium	1983	Cyprus	4
Belgium	1983	Germany	6
Belgium	1983	Israel	10
Belgium	1983	Austria	3
Belgium	1983	Luxembourg	8
Belgium	1984	Sweden	7
Belgium	1984	France	10
Belgium	1984	Spain	3
Belgium	1984	Norway	1
Belgium	1984	United Kingdom	2
Belgium	1984	Ireland	12
Belgium	1984	Denmark	8
Belgium	1984	Germany	6
Belgium	1984	Turkey	4
Belgium	1984	Switzerland	5
Belgium	1985	Ireland	8
Belgium	1985	Denmark	3
Belgium	1985	Turkey	1
Belgium	1985	Germany	10
Belgium	1985	Italy	2
Belgium	1985	Norway	12
Belgium	1985	United Kingdom	6
Belgium	1985	Switzerland	5
Belgium	1985	Sweden	7
Belgium	1985	Austria	4
Belgium	1986	Luxembourg	10
Belgium	1986	Yugoslavia	4
Belgium	1986	Norway	5
Belgium	1986	Turkey	6
Belgium	1986	Spain	3
Belgium	1986	Switzerland	12
Belgium	1986	Ireland	2
Belgium	1986	Germany	7
Belgium	1986	Austria	1
Belgium	1986	Finland	8
Belgium	1987	Norway	7
Belgium	1987	Israel	6
Belgium	1987	Iceland	4
Belgium	1987	Sweden	1
Belgium	1987	Italy	5
Belgium	1987	Greece	2
Belgium	1987	United Kingdom	3
Belgium	1987	Germany	10
Belgium	1987	Ireland	12
Belgium	1987	Yugoslavia	8
Belgium	1988	Sweden	1
Belgium	1988	United Kingdom	12
Belgium	1988	Spain	6
Belgium	1988	Israel	10
Belgium	1988	Switzerland	4
Belgium	1988	Ireland	5
Belgium	1988	Denmark	7
Belgium	1988	Norway	3
Belgium	1988	Luxembourg	8
Belgium	1988	France	2
Belgium	1989	Ireland	3
Belgium	1989	Norway	8
Belgium	1989	Portugal	2
Belgium	1989	Sweden	6
Belgium	1989	Denmark	4
Belgium	1989	Austria	12
Belgium	1989	Spain	7
Belgium	1989	Greece	1
Belgium	1989	Germany	5
Belgium	1989	Yugoslavia	10
Belgium	1990	Spain	1
Belgium	1990	United Kingdom	12
Belgium	1990	Iceland	10
Belgium	1990	Denmark	3
Belgium	1990	Germany	6
Belgium	1990	France	4
Belgium	1990	Ireland	7
Belgium	1990	Italy	8
Belgium	1990	Austria	2
Belgium	1990	Cyprus	5
Belgium	1991	Malta	4
Belgium	1991	Greece	1
Belgium	1991	Switzerland	12
Belgium	1991	Luxembourg	2
Belgium	1991	Sweden	10
Belgium	1991	France	7
Belgium	1991	Ireland	5
Belgium	1991	Israel	8
Belgium	1991	Spain	6
Belgium	1991	United Kingdom	3
Belgium	1992	Spain	1
Belgium	1992	Malta	10
Belgium	1992	Iceland	4
Belgium	1992	Switzerland	5
Belgium	1992	Austria	8
Belgium	1992	United Kingdom	12
Belgium	1992	Ireland	7
Belgium	1992	Norway	3
Belgium	1992	Germany	6
Belgium	1992	Netherlands	2
Belgium	1993	Switzerland	8
Belgium	1993	Austria	3
Belgium	1993	Sweden	10
Belgium	1993	Ireland	2
Belgium	1993	Bosnia-Herzegovina	1
Belgium	1993	United Kingdom	12
Belgium	1993	Netherlands	7
Belgium	1993	Croatia	4
Belgium	1993	Spain	5
Belgium	1993	Norway	6
Belgium	1995	Norway	5
Belgium	1995	Austria	10
Belgium	1995	Spain	12
Belgium	1995	Turkey	1
Belgium	1995	France	6
Belgium	1995	United Kingdom	7
Belgium	1995	Cyprus	8
Belgium	1995	Denmark	3
Belgium	1995	Israel	4
Belgium	1995	Greece	2
Belgium	1996	Turkey	5
Belgium	1996	United Kingdom	12
Belgium	1996	Portugal	6
Belgium	1996	Croatia	4
Belgium	1996	Switzerland	2
Belgium	1996	Norway	8
Belgium	1996	France	7
Belgium	1996	Netherlands	1
Belgium	1996	Ireland	3
Belgium	1996	Sweden	10
Belgium	1998	Croatia	5
Belgium	1998	Spain	3
Belgium	1998	Israel	10
Belgium	1998	Germany	7
Belgium	1998	Malta	8
Belgium	1998	Portugal	1
Belgium	1998	United Kingdom	6
Belgium	1998	Cyprus	2
Belgium	1998	Netherlands	12
Belgium	1998	Norway	4
Belgium	1999	Croatia	5
Belgium	1999	Slovenia	2
Belgium	1999	Netherlands	12
Belgium	1999	Iceland	8
Belgium	1999	Sweden	7
Belgium	1999	Austria	6
Belgium	1999	Israel	3
Belgium	1999	Germany	10
Belgium	1999	Bosnia-Herzegovina	1
Belgium	1999	Estonia	4
Belgium	2000	Netherlands	8
Belgium	2000	Estonia	2
Belgium	2000	Malta	1
Belgium	2000	Russia	7
Belgium	2000	Denmark	10
Belgium	2000	Germany	6
Belgium	2000	Sweden	5
Belgium	2000	Latvia	12
Belgium	2000	Turkey	3
Belgium	2000	Ireland	4
Belgium	2002	Cyprus	3
Belgium	2002	United Kingdom	6
Belgium	2002	Austria	5
Belgium	2002	Spain	12
Belgium	2002	Estonia	4
Belgium	2002	Israel	2
Belgium	2002	Sweden	1
Belgium	2002	France	10
Belgium	2002	Malta	7
Belgium	2002	Latvia	8
Belgium	2003	Iceland	3
Belgium	2003	Austria	2
Belgium	2003	Ireland	1
Belgium	2003	Turkey	12
Belgium	2003	Russia	7
Belgium	2003	Spain	10
Belgium	2003	Netherlands	8
Belgium	2003	Norway	6
Belgium	2003	Poland	5
Belgium	2003	Sweden	4
Belgium	2004	Spain	7
Belgium	2004	France	10
Belgium	2004	Serbia & Montenegro	3
Belgium	2004	Netherlands	6
Belgium	2004	Albania	1
Belgium	2004	Ukraine	5
Belgium	2004	Greece	8
Belgium	2004	Cyprus	4
Belgium	2004	Turkey	12
Belgium	2004	Sweden	2
Belgium	2005	Hungary	2
Belgium	2005	Malta	8
Belgium	2005	Romania	7
Belgium	2005	Norway	3
Belgium	2005	Turkey	10
Belgium	2005	Moldova	1
Belgium	2005	Israel	6
Belgium	2005	Denmark	4
Belgium	2005	Greece	12
Belgium	2005	Latvia	5
Belgium	2006	Germany	1
Belgium	2006	Russia	3
Belgium	2006	Romania	2
Belgium	2006	Bosnia-Herzegovina	6
Belgium	2006	Lithuania	4
Belgium	2006	Greece	10
Belgium	2006	Finland	8
Belgium	2006	Sweden	5
Belgium	2006	Turkey	7
Belgium	2006	Armenia	12
Belgium	2007	Serbia	7
Belgium	2007	Ukraine	1
Belgium	2007	Turkey	12
Belgium	2007	Bulgaria	4
Belgium	2007	Greece	8
Belgium	2007	Armenia	10
Belgium	2007	Hungary	5
Belgium	2007	Georgia	6
Belgium	2007	Slovenia	2
Belgium	2007	Spain	3
Belgium	2008	Armenia	12
Belgium	2008	Israel	5
Belgium	2008	Turkey	10
Belgium	2008	Portugal	6
Belgium	2008	Ukraine	1
Belgium	2008	Azerbaijan	7
Belgium	2008	Greece	8
Belgium	2008	Spain	4
Belgium	2008	Russia	3
Belgium	2008	Norway	2
Belgium	2009	Israel	8
Belgium	2009	France	1
Belgium	2009	Portugal	6
Belgium	2009	Greece	5
Belgium	2009	Armenia	7
Belgium	2009	Azerbaijan	3
Belgium	2009	Moldova	4
Belgium	2009	Germany	2
Belgium	2009	Turkey	12
Belgium	2009	Norway	10
Belgium	2010	Azerbaijan	5
Belgium	2010	Spain	1
Belgium	2010	Greece	12
Belgium	2010	Georgia	4
Belgium	2010	Turkey	6
Belgium	2010	Albania	3
Belgium	2010	Iceland	8
Belgium	2010	Armenia	7
Belgium	2010	Germany	10
Belgium	2010	Denmark	2
Bosnia-Herzegovina	1993	Turkey	2
Bosnia-Herzegovina	1993	Denmark	5
Bosnia-Herzegovina	1993	Malta	4
Bosnia-Herzegovina	1993	Austria	12
Bosnia-Herzegovina	1993	Ireland	8
Bosnia-Herzegovina	1993	Slovenia	1
Bosnia-Herzegovina	1993	United Kingdom	3
Bosnia-Herzegovina	1993	Netherlands	10
Bosnia-Herzegovina	1993	Spain	6
Bosnia-Herzegovina	1993	Norway	7
Bosnia-Herzegovina	1994	Finland	1
Bosnia-Herzegovina	1994	Ireland	10
Bosnia-Herzegovina	1994	United Kingdom	4
Bosnia-Herzegovina	1994	Malta	12
Bosnia-Herzegovina	1994	Germany	7
Bosnia-Herzegovina	1994	Norway	6
Bosnia-Herzegovina	1994	Austria	5
Bosnia-Herzegovina	1994	Hungary	3
Bosnia-Herzegovina	1994	Poland	8
Bosnia-Herzegovina	1994	France	2
Bosnia-Herzegovina	1995	Ireland	5
Bosnia-Herzegovina	1995	Norway	1
Bosnia-Herzegovina	1995	Spain	8
Bosnia-Herzegovina	1995	Croatia	10
Bosnia-Herzegovina	1995	United Kingdom	4
Bosnia-Herzegovina	1995	Sweden	2
Bosnia-Herzegovina	1995	Denmark	3
Bosnia-Herzegovina	1995	Slovenia	6
Bosnia-Herzegovina	1995	Israel	7
Bosnia-Herzegovina	1995	Malta	12
Bosnia-Herzegovina	1996	Turkey	5
Bosnia-Herzegovina	1996	Portugal	1
Bosnia-Herzegovina	1996	Croatia	10
Bosnia-Herzegovina	1996	Austria	6
Bosnia-Herzegovina	1996	Norway	3
Bosnia-Herzegovina	1996	Slovenia	8
Bosnia-Herzegovina	1996	Netherlands	2
Bosnia-Herzegovina	1996	Ireland	12
Bosnia-Herzegovina	1996	Poland	7
Bosnia-Herzegovina	1996	Sweden	4
Bosnia-Herzegovina	1997	Turkey	12
Bosnia-Herzegovina	1997	Ireland	8
Bosnia-Herzegovina	1997	Slovenia	7
Bosnia-Herzegovina	1997	Italy	6
Bosnia-Herzegovina	1997	Poland	4
Bosnia-Herzegovina	1997	Estonia	1
Bosnia-Herzegovina	1997	Malta	5
Bosnia-Herzegovina	1997	France	3
Bosnia-Herzegovina	1997	Croatia	2
Bosnia-Herzegovina	1997	United Kingdom	10
Bosnia-Herzegovina	1999	Croatia	8
Bosnia-Herzegovina	1999	United Kingdom	1
Bosnia-Herzegovina	1999	Slovenia	5
Bosnia-Herzegovina	1999	Netherlands	4
Bosnia-Herzegovina	1999	Poland	6
Bosnia-Herzegovina	1999	Sweden	12
Bosnia-Herzegovina	1999	Israel	2
Bosnia-Herzegovina	1999	Malta	7
Bosnia-Herzegovina	1999	Germany	10
Bosnia-Herzegovina	1999	Estonia	3
Bosnia-Herzegovina	2001	Israel	6
Bosnia-Herzegovina	2001	Sweden	3
Bosnia-Herzegovina	2001	Lithuania	2
Bosnia-Herzegovina	2001	Croatia	7
Bosnia-Herzegovina	2001	Spain	5
Bosnia-Herzegovina	2001	France	12
Bosnia-Herzegovina	2001	Slovenia	10
Bosnia-Herzegovina	2001	Estonia	4
Bosnia-Herzegovina	2001	Malta	1
Bosnia-Herzegovina	2001	Greece	8
Bosnia-Herzegovina	2002	United Kingdom	7
Bosnia-Herzegovina	2002	Spain	6
Bosnia-Herzegovina	2002	Croatia	2
Bosnia-Herzegovina	2002	Estonia	10
Bosnia-Herzegovina	2002	Sweden	12
Bosnia-Herzegovina	2002	Finland	3
Bosnia-Herzegovina	2002	France	8
Bosnia-Herzegovina	2002	Malta	4
Bosnia-Herzegovina	2002	Slovenia	1
Bosnia-Herzegovina	2002	Latvia	5
Bosnia-Herzegovina	2003	Austria	5
Bosnia-Herzegovina	2003	Turkey	12
Bosnia-Herzegovina	2003	Croatia	6
Bosnia-Herzegovina	2003	Russia	3
Bosnia-Herzegovina	2003	Netherlands	2
Bosnia-Herzegovina	2003	France	8
Bosnia-Herzegovina	2003	Belgium	10
Bosnia-Herzegovina	2003	Romania	7
Bosnia-Herzegovina	2003	Sweden	1
Bosnia-Herzegovina	2003	Slovenia	4
Bosnia-Herzegovina	2004	Serbia & Montenegro	12
Bosnia-Herzegovina	2004	Malta	1
Bosnia-Herzegovina	2004	Germany	3
Bosnia-Herzegovina	2004	Albania	4
Bosnia-Herzegovina	2004	Ukraine	6
Bosnia-Herzegovina	2004	Croatia	10
Bosnia-Herzegovina	2004	Macedonia	8
Bosnia-Herzegovina	2004	Greece	5
Bosnia-Herzegovina	2004	Turkey	7
Bosnia-Herzegovina	2004	Sweden	2
Bosnia-Herzegovina	2005	Hungary	1
Bosnia-Herzegovina	2005	Romania	2
Bosnia-Herzegovina	2005	Norway	3
Bosnia-Herzegovina	2005	Turkey	8
Bosnia-Herzegovina	2005	Moldova	4
Bosnia-Herzegovina	2005	Albania	5
Bosnia-Herzegovina	2005	Serbia & Montenegro	10
Bosnia-Herzegovina	2005	Macedonia	7
Bosnia-Herzegovina	2005	Croatia	12
Bosnia-Herzegovina	2005	Greece	6
Bosnia-Herzegovina	2006	Switzerland	4
Bosnia-Herzegovina	2006	Russia	6
Bosnia-Herzegovina	2006	Macedonia	8
Bosnia-Herzegovina	2006	Romania	2
Bosnia-Herzegovina	2006	Greece	1
Bosnia-Herzegovina	2006	Finland	7
Bosnia-Herzegovina	2006	Ukraine	5
Bosnia-Herzegovina	2006	Croatia	12
Bosnia-Herzegovina	2006	Sweden	3
Bosnia-Herzegovina	2006	Turkey	10
Bosnia-Herzegovina	2007	Serbia	12
Bosnia-Herzegovina	2007	Ukraine	5
Bosnia-Herzegovina	2007	Russia	2
Bosnia-Herzegovina	2007	Turkey	10
Bosnia-Herzegovina	2007	Bulgaria	6
Bosnia-Herzegovina	2007	Belarus	4
Bosnia-Herzegovina	2007	Greece	3
Bosnia-Herzegovina	2007	Georgia	1
Bosnia-Herzegovina	2007	Macedonia	8
Bosnia-Herzegovina	2007	Slovenia	7
Bosnia-Herzegovina	2008	Albania	1
Bosnia-Herzegovina	2008	Armenia	6
Bosnia-Herzegovina	2008	Israel	5
Bosnia-Herzegovina	2008	Croatia	10
Bosnia-Herzegovina	2008	Turkey	8
Bosnia-Herzegovina	2008	Ukraine	3
Bosnia-Herzegovina	2008	Greece	7
Bosnia-Herzegovina	2008	Serbia	12
Bosnia-Herzegovina	2008	Russia	4
Bosnia-Herzegovina	2008	Norway	2
Bosnia-Herzegovina	2009	Israel	8
Bosnia-Herzegovina	2009	France	6
Bosnia-Herzegovina	2009	Croatia	12
Bosnia-Herzegovina	2009	Portugal	1
Bosnia-Herzegovina	2009	Greece	5
Bosnia-Herzegovina	2009	Azerbaijan	3
Bosnia-Herzegovina	2009	Germany	2
Bosnia-Herzegovina	2009	Turkey	7
Bosnia-Herzegovina	2009	Norway	10
Bosnia-Herzegovina	2009	United Kingdom	4
Bosnia-Herzegovina	2010	Azerbaijan	7
Bosnia-Herzegovina	2010	Serbia	12
Bosnia-Herzegovina	2010	Greece	6
Bosnia-Herzegovina	2010	Georgia	4
Bosnia-Herzegovina	2010	Turkey	10
Bosnia-Herzegovina	2010	Albania	5
Bosnia-Herzegovina	2010	France	3
Bosnia-Herzegovina	2010	Romania	2
Bosnia-Herzegovina	2010	Germany	8
Bosnia-Herzegovina	2010	Israel	1
Bulgaria	2005	Hungary	5
Bulgaria	2005	Romania	8
Bulgaria	2005	Norway	1
Bulgaria	2005	Turkey	3
Bulgaria	2005	Moldova	6
Bulgaria	2005	Cyprus	10
Bulgaria	2005	Serbia & Montenegro	4
Bulgaria	2005	Macedonia	7
Bulgaria	2005	Croatia	2
Bulgaria	2005	Greece	12
Bulgaria	2006	Russia	10
Bulgaria	2006	Macedonia	6
Bulgaria	2006	Romania	2
Bulgaria	2006	Bosnia-Herzegovina	7
Bulgaria	2006	Lithuania	1
Bulgaria	2006	Greece	12
Bulgaria	2006	Finland	5
Bulgaria	2006	Ukraine	3
Bulgaria	2006	Turkey	4
Bulgaria	2006	Armenia	8
Bulgaria	2007	Serbia	6
Bulgaria	2007	Ukraine	3
Bulgaria	2007	Russia	5
Bulgaria	2007	Turkey	7
Bulgaria	2007	Belarus	1
Bulgaria	2007	Greece	12
Bulgaria	2007	Armenia	8
Bulgaria	2007	Moldova	4
Bulgaria	2007	Romania	2
Bulgaria	2007	Macedonia	10
Bulgaria	2008	Germany	12
Bulgaria	2008	Armenia	8
Bulgaria	2008	Israel	2
Bulgaria	2008	Turkey	5
Bulgaria	2008	Ukraine	7
Bulgaria	2008	Azerbaijan	3
Bulgaria	2008	Greece	10
Bulgaria	2008	Serbia	4
Bulgaria	2008	Russia	6
Bulgaria	2008	Norway	1
Bulgaria	2010	Azerbaijan	12
Bulgaria	2010	Spain	2
Bulgaria	2010	Cyprus	4
Bulgaria	2010	Belarus	1
Bulgaria	2010	Greece	5
Bulgaria	2010	Georgia	6
Bulgaria	2010	Turkey	10
Bulgaria	2010	Ukraine	7
Bulgaria	2010	Armenia	8
Bulgaria	2010	Germany	3
Croatia	1993	Turkey	1
Croatia	1993	Switzerland	2
Croatia	1993	Malta	4
Croatia	1993	Iceland	5
Croatia	1993	France	8
Croatia	1993	Ireland	6
Croatia	1993	United Kingdom	10
Croatia	1993	Netherlands	3
Croatia	1993	Spain	7
Croatia	1993	Norway	12
Croatia	1994	Ireland	12
Croatia	1994	United Kingdom	6
Croatia	1994	Malta	7
Croatia	1994	Germany	10
Croatia	1994	Norway	3
Croatia	1994	Bosnia-Herzegovina	4
Croatia	1994	Austria	2
Croatia	1994	Hungary	5
Croatia	1994	Russia	1
Croatia	1994	Poland	8
Croatia	1995	Bosnia-Herzegovina	8
Croatia	1995	Russia	6
Croatia	1995	Spain	10
Croatia	1995	Turkey	5
Croatia	1995	France	3
Croatia	1995	Cyprus	1
Croatia	1995	Slovenia	2
Croatia	1995	Israel	4
Croatia	1995	Malta	12
Croatia	1995	Greece	7
Croatia	1996	Turkey	1
Croatia	1996	United Kingdom	7
Croatia	1996	Spain	4
Croatia	1996	Portugal	10
Croatia	1996	Cyprus	8
Croatia	1996	Malta	12
Croatia	1996	Norway	5
Croatia	1996	Slovenia	6
Croatia	1996	Belgium	2
Croatia	1996	Bosnia-Herzegovina	3
Croatia	1997	Cyprus	4
Croatia	1997	Ireland	6
Croatia	1997	Slovenia	3
Croatia	1997	Italy	10
Croatia	1997	Germany	5
Croatia	1997	Bosnia-Herzegovina	1
Croatia	1997	Greece	7
Croatia	1997	Malta	8
Croatia	1997	Hungary	2
Croatia	1997	United Kingdom	12
Croatia	1998	Spain	1
Croatia	1998	Slovakia	8
Croatia	1998	Malta	7
Croatia	1998	Slovenia	3
Croatia	1998	Ireland	2
Croatia	1998	United Kingdom	12
Croatia	1998	Cyprus	4
Croatia	1998	Netherlands	10
Croatia	1998	Turkey	5
Croatia	1998	Macedonia	6
Croatia	1999	Lithuania	2
Croatia	1999	Belgium	4
Croatia	1999	Spain	1
Croatia	1999	United Kingdom	5
Croatia	1999	Slovenia	12
Croatia	1999	Norway	7
Croatia	1999	Israel	8
Croatia	1999	Malta	6
Croatia	1999	Germany	3
Croatia	1999	Bosnia-Herzegovina	10
Croatia	2000	Netherlands	2
Croatia	2000	United Kingdom	4
Croatia	2000	Estonia	6
Croatia	2000	Romania	7
Croatia	2000	Malta	8
Croatia	2000	Russia	12
Croatia	2000	Cyprus	3
Croatia	2000	Germany	1
Croatia	2000	Macedonia	10
Croatia	2000	Ireland	5
Croatia	2001	Bosnia-Herzegovina	10
Croatia	2001	Sweden	4
Croatia	2001	France	6
Croatia	2001	Turkey	7
Croatia	2001	United Kingdom	3
Croatia	2001	Slovenia	8
Croatia	2001	Germany	1
Croatia	2001	Estonia	2
Croatia	2001	Greece	5
Croatia	2001	Denmark	12
Croatia	2002	Cyprus	10
Croatia	2002	Greece	1
Croatia	2002	Spain	6
Croatia	2002	Estonia	5
Croatia	2002	Macedonia	4
Croatia	2002	Bosnia-Herzegovina	7
Croatia	2002	Turkey	3
Croatia	2002	Malta	12
Croatia	2002	Slovenia	8
Croatia	2002	Latvia	2
Croatia	2003	Iceland	6
Croatia	2003	Austria	5
Croatia	2003	Ireland	4
Croatia	2003	Turkey	10
Croatia	2003	Bosnia-Herzegovina	8
Croatia	2003	Russia	12
Croatia	2003	Spain	7
Croatia	2003	Romania	1
Croatia	2003	Sweden	2
Croatia	2003	Slovenia	3
Croatia	2004	Serbia & Montenegro	12
Croatia	2004	Malta	2
Croatia	2004	Germany	1
Croatia	2004	Albania	6
Croatia	2004	Ukraine	8
Croatia	2004	Bosnia-Herzegovina	10
Croatia	2004	Macedonia	5
Croatia	2004	Greece	7
Croatia	2004	Cyprus	4
Croatia	2004	Turkey	3
Croatia	2005	Hungary	6
Croatia	2005	Malta	4
Croatia	2005	Moldova	1
Croatia	2005	Albania	2
Croatia	2005	Serbia & Montenegro	12
Croatia	2005	Macedonia	8
Croatia	2005	Greece	5
Croatia	2005	Bosnia-Herzegovina	10
Croatia	2005	Switzerland	3
Croatia	2005	Latvia	7
Croatia	2006	Russia	7
Croatia	2006	Macedonia	8
Croatia	2006	Romania	5
Croatia	2006	Bosnia-Herzegovina	12
Croatia	2006	Lithuania	6
Croatia	2006	United Kingdom	1
Croatia	2006	Finland	10
Croatia	2006	Ukraine	4
Croatia	2006	Ireland	2
Croatia	2006	Sweden	3
Croatia	2007	Serbia	12
Croatia	2007	Ukraine	5
Croatia	2007	Russia	3
Croatia	2007	Bulgaria	6
Croatia	2007	Hungary	4
Croatia	2007	Bosnia-Herzegovina	10
Croatia	2007	Georgia	2
Croatia	2007	Macedonia	8
Croatia	2007	Slovenia	7
Croatia	2007	Latvia	1
Croatia	2008	Albania	8
Croatia	2008	Bosnia-Herzegovina	12
Croatia	2008	Israel	2
Croatia	2008	Portugal	3
Croatia	2008	Latvia	4
Croatia	2008	Ukraine	7
Croatia	2008	Greece	5
Croatia	2008	Serbia	10
Croatia	2008	Russia	6
Croatia	2008	Norway	1
Croatia	2009	Iceland	2
Croatia	2009	Greece	7
Croatia	2009	Azerbaijan	10
Croatia	2009	Bosnia-Herzegovina	12
Croatia	2009	Moldova	3
Croatia	2009	Estonia	6
Croatia	2009	Turkey	1
Croatia	2009	Albania	5
Croatia	2009	Norway	8
Croatia	2009	United Kingdom	4
Croatia	2010	Cyprus	4
Croatia	2010	Bosnia-Herzegovina	10
Croatia	2010	Serbia	8
Croatia	2010	Ireland	1
Croatia	2010	Georgia	7
Croatia	2010	Turkey	12
Croatia	2010	Albania	5
Croatia	2010	France	3
Croatia	2010	Germany	6
Croatia	2010	Denmark	2
Cyprus	1981	Germany	8
Cyprus	1981	Yugoslavia	3
Cyprus	1981	France	7
Cyprus	1981	Netherlands	2
Cyprus	1981	Ireland	12
Cyprus	1981	United Kingdom	4
Cyprus	1981	Belgium	5
Cyprus	1981	Greece	6
Cyprus	1981	Switzerland	10
Cyprus	1981	Sweden	1
Cyprus	1982	Norway	4
Cyprus	1982	United Kingdom	3
Cyprus	1982	Switzerland	6
Cyprus	1982	Austria	7
Cyprus	1982	Belgium	8
Cyprus	1982	Spain	10
Cyprus	1982	Yugoslavia	1
Cyprus	1982	Israel	2
Cyprus	1982	Ireland	5
Cyprus	1982	Germany	12
Cyprus	1983	France	4
Cyprus	1983	United Kingdom	6
Cyprus	1983	Sweden	7
Cyprus	1983	Italy	1
Cyprus	1983	Greece	12
Cyprus	1983	Netherlands	5
Cyprus	1983	Yugoslavia	8
Cyprus	1983	Denmark	2
Cyprus	1983	Austria	3
Cyprus	1983	Luxembourg	10
Cyprus	1984	Sweden	12
Cyprus	1984	Luxembourg	7
Cyprus	1984	France	3
Cyprus	1984	Spain	6
Cyprus	1984	United Kingdom	2
Cyprus	1984	Ireland	10
Cyprus	1984	Denmark	5
Cyprus	1984	Yugoslavia	8
Cyprus	1984	Finland	4
Cyprus	1984	Switzerland	1
Cyprus	1985	Ireland	7
Cyprus	1985	Finland	6
Cyprus	1985	Denmark	3
Cyprus	1985	Spain	1
Cyprus	1985	France	4
Cyprus	1985	Germany	12
Cyprus	1985	Israel	5
Cyprus	1985	Italy	10
Cyprus	1985	Switzerland	2
Cyprus	1985	Greece	8
Cyprus	1986	Luxembourg	8
Cyprus	1986	Yugoslavia	12
Cyprus	1986	Norway	6
Cyprus	1986	United Kingdom	2
Cyprus	1986	Iceland	4
Cyprus	1986	Netherlands	1
Cyprus	1986	Switzerland	5
Cyprus	1986	Belgium	10
Cyprus	1986	Denmark	7
Cyprus	1986	Finland	3
Cyprus	1987	Norway	3
Cyprus	1987	Belgium	5
Cyprus	1987	Sweden	7
Cyprus	1987	Italy	1
Cyprus	1987	Greece	12
Cyprus	1987	United Kingdom	2
Cyprus	1987	Germany	6
Cyprus	1987	Ireland	8
Cyprus	1987	Yugoslavia	10
Cyprus	1987	Switzerland	4
Cyprus	1989	Italy	6
Cyprus	1989	United Kingdom	2
Cyprus	1989	Sweden	8
Cyprus	1989	Austria	10
Cyprus	1989	Finland	3
Cyprus	1989	France	7
Cyprus	1989	Spain	4
Cyprus	1989	Greece	12
Cyprus	1989	Germany	1
Cyprus	1989	Yugoslavia	5
Cyprus	1990	Spain	8
Cyprus	1990	Greece	6
Cyprus	1990	Netherlands	2
Cyprus	1990	Luxembourg	5
Cyprus	1990	United Kingdom	3
Cyprus	1990	Denmark	4
Cyprus	1990	Switzerland	1
Cyprus	1990	France	7
Cyprus	1990	Yugoslavia	10
Cyprus	1990	Italy	12
Cyprus	1991	Greece	10
Cyprus	1991	Switzerland	8
Cyprus	1991	Luxembourg	2
Cyprus	1991	Sweden	6
Cyprus	1991	France	7
Cyprus	1991	Portugal	4
Cyprus	1991	Israel	5
Cyprus	1991	Germany	3
Cyprus	1991	Spain	12
Cyprus	1991	United Kingdom	1
Cyprus	1992	Israel	4
Cyprus	1992	Greece	12
Cyprus	1992	France	3
Cyprus	1992	Malta	1
Cyprus	1992	Austria	8
Cyprus	1992	United Kingdom	6
Cyprus	1992	Ireland	5
Cyprus	1992	Italy	10
Cyprus	1992	Yugoslavia	2
Cyprus	1992	Netherlands	7
Cyprus	1993	Switzerland	6
Cyprus	1993	Greece	12
Cyprus	1993	Malta	1
Cyprus	1993	Iceland	2
Cyprus	1993	Portugal	3
Cyprus	1993	France	10
Cyprus	1993	Ireland	7
Cyprus	1993	United Kingdom	4
Cyprus	1993	Spain	5
Cyprus	1993	Norway	8
Cyprus	1994	Ireland	8
Cyprus	1994	United Kingdom	5
